task_id,rmse,dataset,model,accuracy,rmse_rank,accuracy_rank
7.0,,landmine,MTB,0.9418604651162791,,2.0
8.0,,landmine,MTB,0.9203539823008849,,2.0
9.0,,landmine,MTB,1.0,,2.0
10.0,,landmine,MTB,0.9266666666666666,,2.0
11.0,,landmine,MTB,0.9655172413793104,,2.0
12.0,,landmine,MTB,0.9494949494949495,,2.0
13.0,,landmine,MTB,0.9380530973451328,,2.0
14.0,,landmine,MTB,0.9595959595959596,,2.0
15.0,,landmine,MTB,0.9509803921568627,,2.0
16.0,,landmine,MTB,0.9117647058823529,,3.0
17.0,,landmine,MTB,0.9387755102040817,,1.5
18.0,,landmine,MTB,0.9885057471264368,,2.0
19.0,,landmine,MTB,0.9222222222222223,,2.0
20.0,,landmine,MTB,0.9404761904761905,,2.0
21.0,,landmine,MTB,0.8809523809523809,,2.5
22.0,,landmine,MTB,1.0,,2.0
23.0,,landmine,MTB,0.8681318681318682,,2.0
24.0,,landmine,MTB,0.9534883720930233,,2.0
25.0,,landmine,MTB,0.9560439560439561,,1.5
26.0,,landmine,MTB,0.9506172839506173,,2.0
27.0,,landmine,MTB,0.963855421686747,,2.0
28.0,,landmine,MTB,0.9340659340659341,,2.0
0.0,,adult_gender,MTB,0.9204943737317838,,2.0
1.0,,adult_gender,MTB,0.8068139963167588,,2.0
0.0,,adult_race,MTB,0.89937106918239,,2.0
1.0,,adult_race,MTB,0.8083333333333333,,2.0
2.0,,adult_race,MTB,0.9122357463164638,,2.0
3.0,,adult_race,MTB,0.8296296296296296,,2.5
4.0,,adult_race,MTB,0.8306324394091495,,2.0
0.0,7.8599062822319965,school,RMTB,,2.0,
1.0,10.984850318862799,school,RMTB,,2.0,
2.0,8.785682701274393,school,RMTB,,3.0,
3.0,8.994755976793703,school,RMTB,,1.0,
4.0,9.857411869459334,school,RMTB,,1.0,
5.0,5.460477638565501,school,RMTB,,3.0,
6.0,11.826307267611517,school,RMTB,,1.0,
7.0,8.836113546144986,school,RMTB,,1.0,
8.0,8.159231734949087,school,RMTB,,1.0,
9.0,12.087259398697492,school,RMTB,,2.0,
10.0,9.357159884627587,school,RMTB,,1.0,
11.0,10.03915938301948,school,RMTB,,2.0,
12.0,4.383196026865202,school,RMTB,,1.0,
13.0,6.302419256106203,school,RMTB,,2.0,
14.0,10.55610142530056,school,RMTB,,2.0,
15.0,9.146360144757155,school,RMTB,,2.0,
16.0,8.862601828619885,school,RMTB,,3.0,
17.0,9.967472596242573,school,RMTB,,3.0,
18.0,9.430681602788281,school,RMTB,,3.0,
19.0,8.553948278756462,school,RMTB,,1.0,
20.0,8.143394649873681,school,RMTB,,2.0,
21.0,10.5622960106038,school,RMTB,,2.0,
22.0,11.1348790185172,school,RMTB,,1.0,
23.0,12.583090592191413,school,RMTB,,1.0,
24.0,6.02210658321847,school,RMTB,,1.0,
25.0,8.412773908427047,school,RMTB,,1.0,
26.0,15.70062168674944,school,RMTB,,1.0,
27.0,11.35226279875715,school,RMTB,,2.0,
28.0,10.805509360014927,school,RMTB,,1.0,
29.0,8.632651905062563,school,RMTB,,2.0,
30.0,9.983108767734043,school,RMTB,,3.0,
31.0,12.371405306040142,school,RMTB,,1.0,
32.0,10.068597871076415,school,RMTB,,2.0,
33.0,8.868641343693072,school,RMTB,,1.0,
34.0,9.921703586575054,school,RMTB,,2.0,
35.0,13.124147446860214,school,RMTB,,2.0,
36.0,9.241935121094523,school,RMTB,,3.0,
37.0,7.280556608987151,school,RMTB,,1.0,
38.0,11.061816913563485,school,RMTB,,1.0,
39.0,10.141088512307508,school,RMTB,,2.0,
40.0,8.800900120587762,school,RMTB,,3.0,
41.0,10.330685760699575,school,RMTB,,1.0,
42.0,12.761661136721681,school,RMTB,,2.0,
43.0,10.226802269051419,school,RMTB,,1.0,
44.0,7.752061203683289,school,RMTB,,3.0,
45.0,9.74002744656587,school,RMTB,,2.0,
46.0,7.296335398528409,school,RMTB,,2.0,
47.0,10.896974808809446,school,RMTB,,1.0,
48.0,12.258103725761584,school,RMTB,,2.0,
49.0,9.946989173114924,school,RMTB,,1.0,
50.0,7.654579874197205,school,RMTB,,2.0,
51.0,9.383453893771307,school,RMTB,,2.0,
52.0,8.980424284792681,school,RMTB,,3.0,
53.0,8.034243996209984,school,RMTB,,1.0,
54.0,10.050657505995458,school,RMTB,,1.0,
55.0,13.364771497131505,school,RMTB,,2.0,
56.0,9.537327734064096,school,RMTB,,3.0,
57.0,13.433212424436475,school,RMTB,,2.0,
58.0,10.782815170541104,school,RMTB,,3.0,
59.0,8.599191688188284,school,RMTB,,2.0,
60.0,18.91673134896687,school,RMTB,,3.0,
61.0,12.665442856246187,school,RMTB,,1.0,
62.0,10.402219197723259,school,RMTB,,3.0,
63.0,9.6847547037371,school,RMTB,,1.0,
64.0,6.815722360865223,school,RMTB,,1.0,
65.0,8.891096433574246,school,RMTB,,3.0,
66.0,8.673048785344175,school,RMTB,,3.0,
67.0,11.712877828590205,school,RMTB,,1.0,
68.0,8.00792885641974,school,RMTB,,2.0,
69.0,10.875095066199064,school,RMTB,,2.0,
70.0,10.29633977001315,school,RMTB,,1.0,
71.0,10.326066654924917,school,RMTB,,2.0,
72.0,6.571514289894994,school,RMTB,,3.0,
73.0,8.336677560156545,school,RMTB,,2.0,
74.0,8.442952214541561,school,RMTB,,3.0,
75.0,6.055781910404749,school,RMTB,,2.0,
76.0,8.455586264209918,school,RMTB,,3.0,
77.0,11.002740082926145,school,RMTB,,2.0,
78.0,12.811868288538315,school,RMTB,,1.0,
79.0,9.226142394533268,school,RMTB,,1.0,
80.0,7.832380309213305,school,RMTB,,1.0,
81.0,11.480131369348415,school,RMTB,,1.0,
82.0,10.060966016764338,school,RMTB,,1.0,
83.0,7.604669801104096,school,RMTB,,3.0,
84.0,8.481707228749022,school,RMTB,,3.0,
85.0,12.850652672195288,school,RMTB,,2.0,
86.0,9.588602865380047,school,RMTB,,3.0,
87.0,9.703488315167204,school,RMTB,,2.0,
88.0,9.117351159238062,school,RMTB,,1.0,
89.0,8.543211472596118,school,RMTB,,1.0,
90.0,10.10949830172306,school,RMTB,,1.0,
91.0,8.661219997931298,school,RMTB,,3.0,
92.0,8.397132047807634,school,RMTB,,1.0,
93.0,6.27942411424244,school,RMTB,,1.0,
94.0,9.531375896188509,school,RMTB,,2.0,
95.0,6.034226648268979,school,RMTB,,1.0,
96.0,11.161118298694776,school,RMTB,,2.0,
97.0,11.027915054240868,school,RMTB,,3.0,
98.0,10.789980775451143,school,RMTB,,3.0,
99.0,7.448918148468476,school,RMTB,,2.0,
100.0,9.324191292993724,school,RMTB,,1.0,
101.0,14.74615871073896,school,RMTB,,1.0,
102.0,10.760236679457329,school,RMTB,,1.0,
103.0,10.587881597940028,school,RMTB,,3.0,
104.0,11.56924687230443,school,RMTB,,2.0,
105.0,7.67975609139755,school,RMTB,,2.0,
106.0,7.217294302254612,school,RMTB,,2.0,
107.0,8.218711399872847,school,RMTB,,1.0,
108.0,12.99412364659139,school,RMTB,,2.0,
109.0,11.029143952128708,school,RMTB,,3.0,
110.0,9.254443542787135,school,RMTB,,2.0,
111.0,8.58913638661024,school,RMTB,,1.0,
112.0,11.15925065120942,school,RMTB,,2.0,
113.0,10.71686816229434,school,RMTB,,2.0,
114.0,9.757993811621933,school,RMTB,,1.0,
115.0,9.04941382150086,school,RMTB,,3.0,
116.0,8.466954729091146,school,RMTB,,3.0,
117.0,9.73520655497721,school,RMTB,,3.0,
118.0,14.026053008237943,school,RMTB,,2.0,
119.0,16.10524641017934,school,RMTB,,1.0,
120.0,12.472377660583653,school,RMTB,,3.0,
121.0,10.036292168172753,school,RMTB,,2.0,
122.0,11.907396688511188,school,RMTB,,2.0,
123.0,9.51930076499808,school,RMTB,,2.0,
124.0,7.041232928296457,school,RMTB,,2.0,
125.0,9.197385995621378,school,RMTB,,2.0,
126.0,10.880750331873466,school,RMTB,,3.0,
127.0,10.839828682352433,school,RMTB,,1.0,
128.0,9.59945951993632,school,RMTB,,2.0,
129.0,11.918932019011292,school,RMTB,,1.0,
130.0,11.569129041566432,school,RMTB,,1.0,
131.0,11.014056845709712,school,RMTB,,2.0,
132.0,9.172343736533392,school,RMTB,,1.0,
133.0,7.962902833090099,school,RMTB,,2.0,
134.0,12.5440797159595,school,RMTB,,2.0,
135.0,9.586327192806323,school,RMTB,,3.0,
136.0,8.79638563553165,school,RMTB,,3.0,
137.0,10.991483932119737,school,RMTB,,2.0,
138.0,6.812329647228284,school,RMTB,,2.0,
0.0,1.8144030578621397,computer,RMTB,,1.0,
1.0,1.1843122804069683,computer,RMTB,,3.0,
2.0,2.326707854214963,computer,RMTB,,1.0,
3.0,4.961357617905982,computer,RMTB,,2.0,
4.0,2.4845957521400517,computer,RMTB,,2.0,
